policy_number,insured_name,location_number,street_address,city,state,zip,latitude,longitude,building_value,contents_value,bi_value,tiv,construction_type,iso_construction_class,occupancy_type,occupancy_code,stories,year_built,sq_footage,protection_class,sprinklers,alarm_type,roof_type,roof_year,annual_premium,deductible,wind_deductible_pct,flood_zone,wildfire_score,distance_to_coast_mi,notes
CPL-2024-00101,Harborview Medical Partners LLC,1,4801 N Armenia Ave,Tampa,FL,33603,27.9701,-82.4827,4250000,1800000,2100000,8150000,Joisted Masonry,2,Medical Office,851,3,1987,22400,4,Y,Central Station,BUR,2019,68420,50000,5,AE,2,1.2,
CPL-2024-00101,Harborview Medical Partners LLC,2,4815 N Armenia Ave,Tampa,FL,33603,27.9699,-82.4826,2100000,650000,800000,3550000,Joisted Masonry,2,Medical Office,851,2,1991,11200,4,Y,Central Station,TPO,2021,29780,50000,5,AE,2,1.2,Secondary building same block
CPL-2024-00101,Harborview Medical Partners LLC,3,4823 N Armenia Ave,Tampa,FL,33603,27.9697,-82.4825,1850000,420000,600000,2870000,Frame,1,Medical Office,851,1,2003,8800,4,N,Local,TPO,2015,24060,50000,5,AE,2,1.2,Annex - no sprinklers flagged
CPL-2024-00102,Suncoast Industrial Properties LP,1,9201 Harney Rd,Tampa,FL,33637,28.0701,-82.3512,6800000,3200000,1400000,11400000,Non-Combustible,3,Warehouse/Distribution,922,1,2001,84000,5,Y,Central Station,Metal,2001,74100,100000,5,X,1,8.4,
CPL-2024-00102,Suncoast Industrial Properties LP,2,9245 Harney Rd,Tampa,FL,33637,28.0698,-82.3509,5200000,2800000,980000,8980000,Non-Combustible,3,Warehouse/Distribution,922,1,2006,66000,5,Y,Central Station,Metal,2006,58370,100000,5,X,1,8.4,
CPL-2024-00103,Bayshore Commons Retail Center LLC,1,2901 W Bay Ave,Tampa,FL,33611,27.9218,-82.4813,3400000,1200000,0,4600000,Joisted Masonry,2,Strip Mall/Retail,746,1,1978,18500,4,N,Local,Built-Up,2011,38640,75000,5,X,3,2.1,Tenant-occupied; contents are tenants own
CPL-2024-00104,Gulf Coast Self Storage Inc,1,6600 Seminole Blvd,Seminole,FL,33772,27.8423,-82.7891,2800000,180000,0,2980000,Non-Combustible,3,Self Storage,496,2,1999,34000,7,N,None,Metal,1999,19370,25000,5,X,3,0.8,No BI - self storage
CPL-2024-00105,Pelican Bay HOA,1,100 Pelican Bay Blvd,Naples,FL,34108,26.2612,-81.8107,12500000,2200000,0,14700000,Fire Resistive,6,Condominium,807,18,2002,210000,3,Y,Central Station,Concrete,2002,132300,250000,5,VE,4,0.3,High-rise coastal condo; VE zone
CPL-2024-00106,Everglades Agriculture Holdings,1,,Hendry County,FL,33440,,,,1200000,0,0,1200000,Frame,1,Agricultural - Barn/Storage,161,1,1968,12000,10,N,None,Metal,1968,5880,10000,,X,1,38.0,PO BOX 1144 LaBelle FL; no street address on SOV
CPL-2024-00201,Angeles Industrial Trust,1,2001 E 57th St,Los Angeles,CA,90058,33.9843,-118.2201,9800000,5400000,3200000,18400000,Non-Combustible,3,Light Manufacturing,334,2,1968,96000,2,Y,Central Station,Built-Up,2014,147200,150000,,X,3,8.2,Pre-1971 - seismic upgrade docs on file
