original_id,user_input,variation_type
ce937c35-b746-40b3-ae52-5633026cef6f,6934 S RUSTIC Rd SEATTLE 98178 US,abbreviation
ce937c35-b746-40b3-ae52-5633026cef6f,6934 South RUSTIC Road SEATTLE US,dropped_zip
ce937c35-b746-40b3-ae52-5633026cef6f,6934 South RUSTIC Road 98178 US,dropped_city
b0d471ea-acf1-4e8e-93e4-41113c8ea45a,7520 57TH Pllace Northeast 98115 US,typo
b0d471ea-acf1-4e8e-93e4-41113c8ea45a,7520 57th Pl NE 98115 US,abbreviation
b0d471ea-acf1-4e8e-93e4-41113c8ea45a,7520 57th Pl NE,informal
f714f8e0-1fbe-4479-a8bb-1b604fe62f12,1814 18th Ave S,informal
f714f8e0-1fbe-4479-a8bb-1b604fe62f12,1814 98144 18th Avenue South US,reordered
f714f8e0-1fbe-4479-a8bb-1b604fe62f12,1814 18TH Avenue South US,dropped_zip
47478b02-27f5-466f-b94e-a808255d48f8,5263 17th Ave SW 98106 US,abbreviation
47478b02-27f5-466f-b94e-a808255d48f8,5263 17TH Avenne Southwest 98106 US,typo
47478b02-27f5-466f-b94e-a808255d48f8,5263 17TH Avenue Southwest US,dropped_zip
156d26d0-fa08-4737-8f22-f5a7de762b8d,1701 Southwest 112TH Street US,dropped_zip
156d26d0-fa08-4737-8f22-f5a7de762b8d,1701 SW 112th St 98146 US,abbreviation
156d26d0-fa08-4737-8f22-f5a7de762b8d,1701 SW 112th St,informal
3e982322-0f23-49b5-bd0e-120d69410025,8401 8TH Aveneu South 98108 US,typo
3e982322-0f23-49b5-bd0e-120d69410025,8401 98108 8TH Avenue South US,reordered
3e982322-0f23-49b5-bd0e-120d69410025,8401 8th Ave S 98108 US,abbreviation
8611fdd4-58f9-4764-9d93-1530cc466c4f,6531 B 35th Ave NE,mixed
8611fdd4-58f9-4764-9d93-1530cc466c4f,6531 B 35TH Avenue Northeast US,dropped_zip
8611fdd4-58f9-4764-9d93-1530cc466c4f,6531 B 35th Ave NE 98115 US,abbreviation
2f55033c-1765-4e91-8235-90d54d486584,4136 38th Ave SW,informal
2f55033c-1765-4e91-8235-90d54d486584,4136 38TH Avenue Southwesst 98126 US,typo
2f55033c-1765-4e91-8235-90d54d486584,4136 38th Ave SW 98126 US,abbreviation
0f23af7f-0377-4c98-ac9f-f3fa2fea1da5,600 SW KENYON St 98106 US,abbreviation
0f23af7f-0377-4c98-ac9f-f3fa2fea1da5,600 Southwest KENYON Street US,dropped_zip
0f23af7f-0377-4c98-ac9f-f3fa2fea1da5,600 SW Kenyon St,informal
06d17ea8-c26f-437e-aeb0-4c22c0f4ee61,8501 5TH Avenue Northeast US,dropped_zip
06d17ea8-c26f-437e-aeb0-4c22c0f4ee61,8501 5th Ave NE 98115 US,abbreviation
06d17ea8-c26f-437e-aeb0-4c22c0f4ee61,5th Ave NE 8501 98115 US,reordered
81e3c51d-8923-4e1e-884c-6418bc4d340f,3711 42nd Ave SW,informal
81e3c51d-8923-4e1e-884c-6418bc4d340f,3711 42ND Avenue Southwest US,dropped_zip
81e3c51d-8923-4e1e-884c-6418bc4d340f,3711 42nd Ave SW 98116 US,abbreviation
641ea005-4d99-47b2-82a5-e4f8da2e6327,6609 HOLLY Pl SW 98136 US,abbreviation
641ea005-4d99-47b2-82a5-e4f8da2e6327,6609 HOLLY Place Southwet 98136 US,typo
641ea005-4d99-47b2-82a5-e4f8da2e6327,6609 HOLLY Place Southwest US,dropped_zip
46f4e61a-60a5-43f0-bc36-eaeb86df5221,1671 HARBOR Avenue Southwest US,dropped_zip
46f4e61a-60a5-43f0-bc36-eaeb86df5221,1671 Harbor Ave SW,mixed
46f4e61a-60a5-43f0-bc36-eaeb86df5221,1671 HARBOR Ave SW 98126 US,abbreviation
69ad2d81-533f-445b-aab7-a75bef7d7651,1714 E FIR St 98122 US,abbreviation
69ad2d81-533f-445b-aab7-a75bef7d7651,1714 E Fir St,informal
69ad2d81-533f-445b-aab7-a75bef7d7651,1714 East FIR Street US,dropped_zip
173cbc83-74ef-40f3-a0dc-67d49f640b9b,4115 45TH Avenue Southwest US,dropped_zip
173cbc83-74ef-40f3-a0dc-67d49f640b9b,4115 45TH Avenue Southwesst 98116 US,typo
173cbc83-74ef-40f3-a0dc-67d49f640b9b,4115 45th Ave SW 98116 US,abbreviation
54d5b64b-2953-4c5e-89f1-34f7bb107ba5,1610 NE 77th St 98115 US,abbreviation
54d5b64b-2953-4c5e-89f1-34f7bb107ba5,1610 NE 77th St,informal
54d5b64b-2953-4c5e-89f1-34f7bb107ba5,1610 Northeast 77TH Street US,dropped_zip
00f43cc6-be90-4832-87d3-7a4a79a11e01,7th Avenue Northwest 7020 98117 US,reordered
00f43cc6-be90-4832-87d3-7a4a79a11e01,7020 7TH Avenue Northwest US,dropped_zip
00f43cc6-be90-4832-87d3-7a4a79a11e01,7020 7th Ave NW 98117 US,abbreviation
39b13ec8-03ff-4498-91f2-05dc8ac201ea,3810 S EDMUNDS St 98118 US,abbreviation
39b13ec8-03ff-4498-91f2-05dc8ac201ea,3810 S Edmunds St,informal
39b13ec8-03ff-4498-91f2-05dc8ac201ea,3810 South EDMUNNDS Street 98118 US,typo
84a30066-124b-4f65-9189-31950cc6b9dc,2715 6TH Avenue South US,dropped_zip
84a30066-124b-4f65-9189-31950cc6b9dc,2715 6th Ave S,mixed
84a30066-124b-4f65-9189-31950cc6b9dc,2715 6th Ave S 98134 US,abbreviation
8716e288-c69c-4c0b-b507-a2c9ee767151,628 NW 88th St 98117 US,abbreviation
8716e288-c69c-4c0b-b507-a2c9ee767151,628 Northwest 88TH Street US,dropped_zip
8716e288-c69c-4c0b-b507-a2c9ee767151,628 NW 88th St,informal
01af5e3b-20d5-40b7-b185-fcb23c4bd432,9232 21st Ave NW,informal
01af5e3b-20d5-40b7-b185-fcb23c4bd432,9232 21ST Avenue Northwesst 98117 US,typo
01af5e3b-20d5-40b7-b185-fcb23c4bd432,9232 21st Ave NW 98117 US,abbreviation
5b58b95b-4120-4414-9e4a-06e1820429b6,3230 NE 95th St 98115 US,abbreviation
5b58b95b-4120-4414-9e4a-06e1820429b6,95th Street NE 3230 98115 US,reordered
5b58b95b-4120-4414-9e4a-06e1820429b6,3230 Northeast 95TH Street US,dropped_zip
37d9adc0-e7dc-426b-ad19-d09e560ca397,2431 WESTVIEW Drive West US,dropped_zip
37d9adc0-e7dc-426b-ad19-d09e560ca397,2431 WESTVIEW Dr W 98119 US,abbreviation
37d9adc0-e7dc-426b-ad19-d09e560ca397,2431 Westview Dr W,informal
5fb8f888-e94b-4ab8-927c-16a87b647605,10605 Seola Beach Dr SW,informal
5fb8f888-e94b-4ab8-927c-16a87b647605,10605 SEOLA BEACH Drive Southhwest 98146 US,typo
5fb8f888-e94b-4ab8-927c-16a87b647605,10605 SEOLA BEACH Dr SW 98146 US,abbreviation
b3be1cb0-bb16-4dfc-ac6f-615176c5758d,2428 31st Ave W 98199 US,abbreviation
b3be1cb0-bb16-4dfc-ac6f-615176c5758d,2428 31st Ave W,mixed
b3be1cb0-bb16-4dfc-ac6f-615176c5758d,2428 31ST Avenue West US,dropped_zip
48202279-4caf-4e1b-96c2-b633ecba4be7,8710 OVERLAKE Dr W 98039 US,abbreviation
48202279-4caf-4e1b-96c2-b633ecba4be7,8710 OVERLAKE Drive West US,dropped_zip
48202279-4caf-4e1b-96c2-b633ecba4be7,8710 OVERLAKE Drvie West 98039 US,typo
e088ee3b-8421-4e29-b408-79168f0f4247,7774 HIGHLAND PARK Way SW,informal
e088ee3b-8421-4e29-b408-79168f0f4247,7774 HIGHLAND PARK Wy SW 98106 US,abbreviation
e088ee3b-8421-4e29-b408-79168f0f4247,98106 US 7774 HIGHLAND PARK Way Southwest,reordered
94af6676-569c-4a4f-9f28-f1fec9de37de,10838 101ST Avenue Northeast US,dropped_zip
94af6676-569c-4a4f-9f28-f1fec9de37de,10838 101ST Avenue Northeats 98033 US,typo
94af6676-569c-4a4f-9f28-f1fec9de37de,10838 101st Ave NE,mixed
5f92d603-e2c1-4c94-87fd-29fcfd554dbe,7625 15TH Ave NE 98115 US,abbreviation
5f92d603-e2c1-4c94-87fd-29fcfd554dbe,7625 15th Ave NE,informal
cfb450df-0b49-46b0-9728-c7f75b42346d,98105 US 4115 51ST Avenue Northeast,reordered
cfb450df-0b49-46b0-9728-c7f75b42346d,4115 51ST Avenue Nprtheast 98105 US,typo
3aff6ef4-b490-4fc7-bcd4-3b2f9eeb63c7,703 21ST Ave E 98112 US,abbreviation
3aff6ef4-b490-4fc7-bcd4-3b2f9eeb63c7,703 21ST Avenue East US,dropped_zip
3aff6ef4-b490-4fc7-bcd4-3b2f9eeb63c7,703 21st Ave E,informal
9a6aa921-f60e-4a7f-8a2f-8f1c16143be1,8826 38TH Avenuw Southwest 98126 US,typo
9a6aa921-f60e-4a7f-8a2f-8f1c16143be1,8826 38TH Ave SW 98126 US,abbreviation
c1a4f817-240e-4940-8bfe-ce1eacf23b36,130 13TH Avenue US,dropped_zip
c1a4f817-240e-4940-8bfe-ce1eacf23b36,130 13th Ave,informal
5817fef8-90c7-4a98-96d8-ff6bcabfb813,745 B N 95TH St 98103 US,abbreviation
5817fef8-90c7-4a98-96d8-ff6bcabfb813,98103 US 745 B North 95TH Street,reordered
5817fef8-90c7-4a98-96d8-ff6bcabfb813,745 B North 95TH Sreet 98103 US,typo
019e9692-529b-4972-8664-d9231cb38e8b,1111 10th Ave E,informal
019e9692-529b-4972-8664-d9231cb38e8b,1111 10TH Avenue East US,dropped_zip
6b861c23-b881-4b57-9259-04d67291474d,2012 NE 92ND St 98115 US,abbreviation
6b861c23-b881-4b57-9259-04d67291474d,2012 Northeast 92ND Strete 98115 US,typo
6b861c23-b881-4b57-9259-04d67291474d,2012 NE 92nd St,mixed
bd9e8cb5-785e-485e-88ba-f9a5bdc3766f,628 W NICKERSON St,informal
bd9e8cb5-785e-485e-88ba-f9a5bdc3766f,98119 US 628 West NICKERSON Street,reordered
5d607569-3f8f-4e2b-a9fb-1e5223faff0e,4719 S BOND St 98118 US,abbreviation
5d607569-3f8f-4e2b-a9fb-1e5223faff0e,4719 South BOND Street US,dropped_zip
5d607569-3f8f-4e2b-a9fb-1e5223faff0e,4719 South BONND Street 98118 US,typo
d35e3405-194b-4312-aa89-131ba501ed73,300 NW 78th St,informal
d35e3405-194b-4312-aa89-131ba501ed73,300 NW 78TH St 98117 US,abbreviation
dd4fc895-b413-474b-972f-403c4b9f6cc7,98102 US 915 HARVARD Avenue East,reordered
dd4fc895-b413-474b-972f-403c4b9f6cc7,915 HARVARD Avnue East 98102 US,typo
dd4fc895-b413-474b-972f-403c4b9f6cc7,915 HARVARD Avenue East US,dropped_zip
