registration_id,owner_city,owner_state,owner_zip,county,make,model,year,ev_type,electric_range_miles,base_msrp,registration_date
WA-EV-00001,Seattle,WA,98101,King,Tesla,Model 3,2022,BEV,358,46990,2022-03-15
WA-EV-00002,seattle,WA,98103,King,Nissan,Leaf,2021,BEV,212,27400,2021-08-22
WA-EV-00003,Seattle,WA,98115,king,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-06-10
WA-EV-00004,Seattle,wa,98122,King,Tesla,Model Y,2023,BEV,330,52990,2023-01-05
WA-EV-00005,Seattle,WA,98107,King,Ford,Mustang Mach-E,2022,BEV,247,45995,2022-09-18
WA-EV-00006,Bellevue,WA,98004,King,Tesla,Model S,2023,BEV,405,89990,2023-04-22
WA-EV-00007,BELLEVUE,WA,98005,King,Rivian,R1T,2022,BEV,314,67500,2022-11-30
WA-EV-00008,Bellevue,WA,98006,King,Tesla,Model 3,2021,BEV,358,43990,2021-12-14
WA-EV-00009,Kirkland,WA,98033,King,Hyundai,IONIQ 5,2022,BEV,266,41450,2022-07-07
WA-EV-00010,Kirkland,WA,98034,King,Kia,EV6,2023,BEV,310,42600,2023-02-28
WA-EV-00011,Redmond,WA,98052,King,Tesla,Model Y,2022,BEV,330,52990,2022-05-16
WA-EV-00012,Redmond,WA,98052,King,BMW,i4,2023,BEV,301,56100,2023-06-09
WA-EV-00013,Sammamish,WA,98074,King,Tesla,Model X,2022,BEV,348,104990,2022-08-24
WA-EV-00014,Sammamish,WA,98075,King,Chevrolet,Bolt EUV,2023,BEV,247,28795,2023-03-17
WA-EV-00015,Issaquah,WA,98027,King,Volkswagen,ID.4,2022,BEV,280,41230,2022-10-05
WA-EV-00016,Renton,WA,98057,King,Nissan,Leaf,2022,BEV,212,27400,2022-04-19
WA-EV-00017,Renton,WA,98059,King,Toyota,bZ4X,2023,BEV,252,43215,2023-07-31
WA-EV-00018,Kent,WA,98032,King,Ford,F-150 Lightning,2022,BEV,320,55974,2022-12-08
WA-EV-00019,Federal Way,WA,98003,King,Tesla,Model 3,2023,BEV,358,46990,2023-05-20
WA-EV-00020,Auburn,WA,98002,King,Chevrolet,Bolt EV,2021,BEV,259,26500,2021-09-13
WA-EV-00021,Tacoma,WA,98402,Pierce,Tesla,Model Y,2022,BEV,330,52990,2022-07-27
WA-EV-00022,Tacoma,WA,98405,Pierce,Nissan,Leaf,2020,BEV,149,31600,2020-11-04
WA-EV-00023,Tacoma,WA,98444,Pierce,Ford,Mustang Mach-E,2023,BEV,247,45995,2023-08-16
WA-EV-00024,Tacoma,WA,98408,Pierce,Hyundai,IONIQ 6,2023,BEV,361,38615,2023-09-29
WA-EV-00025,Puyallup,WA,98371,Pierce,Tesla,Model 3,2021,BEV,358,43990,2021-06-11
WA-EV-00026,Puyallup,WA,98374,Pierce,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-03-23
WA-EV-00027,Lakewood,WA,98499,Pierce,Kia,Niro EV,2022,BEV,253,39990,2022-08-05
WA-EV-00028,Gig Harbor,WA,98332,Pierce,Rivian,R1S,2023,BEV,321,78000,2023-10-18
WA-EV-00029,Everett,WA,98201,Snohomish,Tesla,Model 3,2022,BEV,358,46990,2022-02-09
WA-EV-00030,Everett,WA,98203,Snohomish,Ford,Mustang Mach-E,2022,BEV,247,45995,2022-11-21
WA-EV-00031,Marysville,WA,98270,Snohomish,Nissan,Leaf,2021,BEV,212,27400,2021-07-14
WA-EV-00032,Lynnwood,WA,98036,Snohomish,Tesla,Model Y,2023,BEV,330,52990,2023-04-05
WA-EV-00033,Lynnwood,WA,98037,Snohomish,Chevrolet,Bolt EUV,2022,BEV,247,28795,2022-09-27
WA-EV-00034,Edmonds,WA,98020,Snohomish,Hyundai,IONIQ 5,2023,BEV,266,41450,2023-01-19
WA-EV-00035,Bothell,WA,98011,Snohomish,BMW,iX,2023,BEV,324,87100,2023-06-30
WA-EV-00036,Mukilteo,WA,98275,Snohomish,Tesla,Model S,2022,BEV,405,89990,2022-05-08
WA-EV-00037,Bellevue,WA,98008,King,Rivian,R1T,2023,BEV,314,67500,2023-07-12
WA-EV-00038,Mercer Island,WA,98040,King,Tesla,Model X,2023,BEV,348,104990,2023-11-25
WA-EV-00039,Shoreline,WA,98133,King,Volkswagen,ID.4,2023,BEV,280,41230,2023-03-08
WA-EV-00040,Burien,WA,98166,King,Ford,F-150 Lightning,2023,BEV,320,55974,2023-08-21
WA-EV-00041,Spokane,WA,99201,Spokane,Tesla,Model 3,2022,BEV,358,46990,2022-04-14
